source_session_path,site,garage,connection_time,disconnect_time,energy_delivered_kwh,maximum_observed_power_kw,maximum_pilot_a,source_compressed_bytes,resource_id
time series data/caltech/California_Garage_02/2-6-3-1360-2019-04-22T20-42-25-903149.csv.gz,caltech,California_Garage_02,2019-04-22T20:42:35+00:00,2019-04-22T22:45:03+00:00,0.82407,4.21595,0.0,6179,ev_0120
time series data/jpl/Arroyo_Garage_01/1-1-194-818-2020-08-19T14-47-21-979458.csv.gz,jpl,Arroyo_Garage_01,2020-08-19T14:47:24+00:00,2020-08-20T01:37:45+00:00,5.27215,3.19,20.0,56629,ev_0121
time series data/caltech/California_Garage_02/2-6-3-1357-2019-11-05T06-46-10-525145.csv.gz,caltech,California_Garage_02,2019-11-05T06:46:14+00:00,2019-11-05T08:32:42+00:00,5.4438,3.31822,0.0,19529,ev_0122
time series data/caltech/California_Garage_01/2-39-125-559-2018-10-29T16-43-06-245283.csv.gz,caltech,California_Garage_01,2018-10-29T16:43:06+00:00,2018-10-30T00:52:20+00:00,8.93489,6.97,,38986,ev_0123
time series data/caltech/California_Garage_01/2-39-78-367-2019-08-29T15-59-51-928836.csv.gz,caltech,California_Garage_01,2019-08-29T15:59:52+00:00,2019-08-30T01:20:21+00:00,0.90227,1.71808,0.0,45738,ev_0124
time series data/jpl/Arroyo_Garage_01/1-1-178-823-2020-09-09T05-33-08-988672.csv.gz,jpl,Arroyo_Garage_01,2020-09-09T05:33:12+00:00,2020-09-09T07:48:34+00:00,5.05117,3.42,32.0,20743,ev_0125
time series data/caltech/California_Garage_02/2-6-3-1357-2019-02-08T14-56-25-014701.csv.gz,caltech,California_Garage_02,2019-02-08T14:56:25+00:00,2019-02-08T20:55:12+00:00,8.29026,6.45424,0.0,41522,ev_0126
time series data/caltech/California_Garage_01/2-39-79-381-2019-06-12T20-42-28-085611.csv.gz,caltech,California_Garage_01,2019-06-12T20:42:29+00:00,2019-06-13T02:06:43+00:00,0.97292,1.709,8.0,40185,ev_0127
time series data/caltech/California_Garage_01/2-39-123-23-2020-02-26T17-42-18-436824.csv.gz,caltech,California_Garage_01,2020-02-26T17:42:18+00:00,2020-02-27T01:36:15+00:00,5.72616,6.576,32.0,46717,ev_0128
time series data/caltech/California_Garage_02/2-6-3-1356-2018-12-11T16-39-01-358130.csv.gz,caltech,California_Garage_02,2018-12-11T16:39:01+00:00,2018-12-11T23:49:20+00:00,12.38255,5.99872,0.0,41055,ev_0129
time series data/caltech/California_Garage_02/2-6-3-1625-2020-04-26T19-15-44-896045.csv.gz,caltech,California_Garage_02,2020-04-26T19:15:45+00:00,2020-04-27T01:41:58+00:00,17.77115,11.0544,80.0,47471,ev_0130
time series data/caltech/California_Garage_02/2-6-3-1361-2019-01-09T16-14-45-468299.csv.gz,caltech,California_Garage_02,2019-01-09T16:14:45+00:00,2019-01-09T18:12:06+00:00,16.11989,8.35411,0.0,21939,ev_0131
time series data/caltech/California_Garage_02/2-6-3-1632-2020-02-19T00-56-14-951436.csv.gz,caltech,California_Garage_02,2020-02-19T00:56:19+00:00,2020-02-19T04:52:45+00:00,41.25924,10.8192,80.0,54053,ev_0132
time series data/jpl/Arroyo_Garage_01/1-1-193-827-2020-08-11T13-25-35-868780.csv.gz,jpl,Arroyo_Garage_01,2020-08-11T13:25:39+00:00,2020-08-11T20:35:27+00:00,13.43682,5.931,32.0,57399,ev_0133
time series data/jpl/Arroyo_Garage_01/1-1-193-825-2020-10-09T15-49-58-131314.csv.gz,jpl,Arroyo_Garage_01,2020-10-09T15:50:01+00:00,2020-10-09T20:56:28+00:00,31.41181,6.475,32.0,58820,ev_0134
time series data/caltech/California_Garage_02/2-6-3-1363-2020-03-13T15-16-12-307776.csv.gz,caltech,California_Garage_02,2020-03-13T15:16:12+00:00,2020-03-13T23:03:56+00:00,5.71033,3.31822,0.0,42105,ev_0135
time series data/caltech/California_Garage_01/2-39-92-436-2019-05-21T21-36-10-980237.csv.gz,caltech,California_Garage_01,2019-05-21T21:36:12+00:00,2019-05-21T23:06:07+00:00,3.97839,6.614,32.0,18257,ev_0136
time series data/caltech/California_Garage_01/2-39-79-377-2018-09-10T19-53-06-772831.csv.gz,caltech,California_Garage_01,2018-09-10T19:53:10+00:00,2018-09-11T03:26:49+00:00,13.28499,6.44,,51821,ev_0137
time series data/caltech/California_Garage_01/2-39-123-557-2018-09-22T17-52-13-090916.csv.gz,caltech,California_Garage_01,2018-09-22T17:52:13+00:00,2018-09-22T19:40:11+00:00,11.74705,7.073,,20157,ev_0138
time series data/caltech/California_Garage_02/2-6-3-1627-2019-09-06T15-09-32-395768.csv.gz,caltech,California_Garage_02,2019-09-06T15:09:32+00:00,2019-09-06T19:57:43+00:00,26.65212,9.1353,62.0,66838,ev_0139
time series data/caltech/California_Garage_02/2-6-3-1624-2019-10-30T01-27-28-620095.csv.gz,caltech,California_Garage_02,2019-10-30T01:27:29+00:00,2019-10-30T02:24:08+00:00,6.65968,7.335,80.0,13669,ev_0140
time series data/caltech/S_Wilson_Garage_01/2-105-277-1696-2019-05-06T16-19-35-737320.csv.gz,caltech,S_Wilson_Garage_01,2019-05-06T16:19:50+00:00,2019-05-09T03:27:57+00:00,0.54936,2.34,32.0,200183,ev_0141
time series data/caltech/California_Garage_01/2-39-78-363-2018-06-08T17-03-25-889206.csv.gz,caltech,California_Garage_01,2018-06-08T17:03:29+00:00,2018-06-09T02:12:26+00:00,12.23126,5.09309,,79398,ev_0142
time series data/caltech/California_Garage_01/2-39-125-21-2018-11-03T00-19-52-440337.csv.gz,caltech,California_Garage_01,2018-11-03T00:19:52+00:00,2018-11-03T00:20:32+00:00,0.01389,1.733,8.0,342,ev_0143
time series data/caltech/California_Garage_01/2-39-83-387-2018-07-19T01-49-25-989123.csv.gz,caltech,California_Garage_01,2018-07-19T01:49:26+00:00,2018-07-19T02:34:25+00:00,1.62232,2.334,,8174,ev_0144
time series data/jpl/Arroyo_Garage_01/1-1-178-828-2020-11-10T14-17-58-115329.csv.gz,jpl,Arroyo_Garage_01,2020-11-10T14:18:01+00:00,2020-11-10T20:11:06+00:00,8.12404,3.306,32.0,39954,ev_0145
time series data/caltech/California_Garage_01/2-39-90-26-2018-09-05T16-11-40-461414.csv.gz,caltech,California_Garage_01,2018-09-05T16:11:40+00:00,2018-09-06T00:22:41+00:00,8.06047,5.862,,43481,ev_0146
time series data/caltech/N_Wilson_Garage_01/2-137-440-2993-2020-11-06T05-59-35-988454.csv.gz,caltech,N_Wilson_Garage_01,2020-11-06T05:59:39+00:00,2020-11-06T06:05:49+00:00,9.9398,0.0,320.0,566,ev_0147
time series data/caltech/California_Garage_01/2-39-130-564-2018-11-06T16-57-17-679856.csv.gz,caltech,California_Garage_01,2018-11-06T16:57:22+00:00,2018-11-07T00:51:14+00:00,4.43754,6.627,32.0,44384,ev_0148
time series data/caltech/California_Garage_01/2-39-123-23-2020-01-07T20-11-49-110350.csv.gz,caltech,California_Garage_01,2020-01-07T20:11:50+00:00,2020-01-08T03:27:19+00:00,22.38244,7.022,32.0,59693,ev_0149
time series data/caltech/California_Garage_01/2-39-79-379-2019-08-09T15-28-20-089063.csv.gz,caltech,California_Garage_01,2019-08-09T15:28:20+00:00,2019-08-09T22:49:13+00:00,16.91645,7.003,32.0,53773,ev_0150
time series data/caltech/California_Garage_02/2-6-3-1368-2018-12-30T08-25-38-593591.csv.gz,caltech,California_Garage_02,2018-12-30T08:25:39+00:00,2018-12-30T11:38:30+00:00,5.57422,3.31822,0.0,24704,ev_0151
time series data/caltech/California_Garage_01/2-39-78-362-2018-09-11T14-08-01-150314.csv.gz,caltech,California_Garage_01,2018-09-11T14:08:01+00:00,2018-09-11T23:36:55+00:00,13.21268,6.6689,,61982,ev_0152
time series data/caltech/California_Garage_02/2-6-3-1360-2020-03-02T00-31-32-287101.csv.gz,caltech,California_Garage_02,2020-03-02T00:31:32+00:00,2020-03-02T02:03:08+00:00,5.04092,3.33112,0.0,16785,ev_0153
time series data/caltech/California_Garage_02/2-6-3-1632-2019-08-23T15-44-40-172457.csv.gz,caltech,California_Garage_02,2019-08-23T15:44:40+00:00,2019-08-23T23:07:14+00:00,23.93552,7.29675,61.0,80362,ev_0154
time series data/caltech/California_Garage_01/2-39-139-28-2019-12-12T16-40-33-762876.csv.gz,caltech,California_Garage_01,2019-12-12T16:40:37+00:00,2019-12-13T02:20:45+00:00,5.90819,3.37,32.0,49860,ev_0155
time series data/jpl/Arroyo_Garage_01/1-1-194-821-2020-10-29T15-27-14-882354.csv.gz,jpl,Arroyo_Garage_01,2020-10-29T15:27:17+00:00,2020-10-30T01:20:41+00:00,8.666,3.254,19.0,80369,ev_0156
time series data/caltech/California_Garage_02/2-6-3-1365-2019-09-11T15-54-41-917437.csv.gz,caltech,California_Garage_02,2019-09-11T15:54:42+00:00,2019-09-12T00:27:12+00:00,5.66219,3.39622,0.0,49264,ev_0157
time series data/caltech/California_Garage_01/2-39-89-25-2020-01-05T02-30-56-509870.csv.gz,caltech,California_Garage_01,2020-01-05T02:30:56+00:00,2020-01-05T04:04:27+00:00,5.42357,3.581,32.0,17406,ev_0158
time series data/caltech/California_Garage_01/2-39-79-380-2020-02-13T23-02-03-794716.csv.gz,caltech,California_Garage_01,2020-02-13T23:02:19+00:00,2020-02-13T23:18:21+00:00,0.44745,1.751,8.0,1905,ev_0159
time series data/caltech/California_Garage_02/2-6-3-1359-2019-08-30T13-34-52-737436.csv.gz,caltech,California_Garage_02,2019-08-30T13:34:54+00:00,2019-08-30T21:48:08+00:00,17.58324,6.08982,0.0,63651,ev_0160
time series data/caltech/California_Garage_02/2-6-3-1625-2020-02-14T16-18-37-056885.csv.gz,caltech,California_Garage_02,2020-02-14T16:18:40+00:00,2020-02-15T00:31:09+00:00,14.40163,7.11969,80.0,57502,ev_0161
time series data/caltech/N_Wilson_Garage_01/2-137-521-3842-2020-11-16T03-41-22-544399.csv.gz,caltech,N_Wilson_Garage_01,2020-11-16T03:41:25.074756+00:00,2020-11-16T04:49:31.001209+00:00,30.538,45.552,125.0,6755,ev_0162
time series data/caltech/California_Garage_01/2-39-124-22-2018-08-03T03-14-17-150361.csv.gz,caltech,California_Garage_01,2018-08-03T03:14:17+00:00,2018-08-03T03:57:42+00:00,4.69931,6.985,,8311,ev_0163
time series data/jpl/Arroyo_Garage_01/1-1-194-826-2020-11-19T15-54-35-640528.csv.gz,jpl,Arroyo_Garage_01,2020-11-19T15:54:37+00:00,2020-11-19T20:31:12+00:00,5.69971,3.307,25.0,34112,ev_0164
time series data/caltech/S_Wilson_Garage_01/2-105-277-1697-2019-09-30T01-32-46-620308.csv.gz,caltech,S_Wilson_Garage_01,2019-09-30T01:33:11+00:00,2019-09-30T03:52:34+00:00,5.29887,3.31,32.0,24880,ev_0165
time series data/caltech/California_Garage_01/2-39-95-27-2019-05-04T22-30-19-831562.csv.gz,caltech,California_Garage_01,2019-05-04T22:30:23+00:00,2019-05-05T00:32:49+00:00,5.2516,3.439,32.0,21031,ev_0166
time series data/caltech/N_Wilson_Garage_01/2-137-521-3844-2020-08-03T15-24-53-427636.csv.gz,caltech,N_Wilson_Garage_01,2020-08-03T15:24:53.427636+00:00,2020-08-03T16:20:32.816401+00:00,4.955,27.6771,125.0,4746,ev_0167
time series data/caltech/California_Garage_01/2-39-79-381-2019-01-30T17-44-26-948363.csv.gz,caltech,California_Garage_01,2019-01-30T17:44:30+00:00,2019-01-30T20:20:37+00:00,5.21354,3.541,17.0,29028,ev_0168
time series data/caltech/California_Garage_02/2-6-3-1356-2019-03-21T15-29-59-721526.csv.gz,caltech,California_Garage_02,2019-03-21T15:30:18+00:00,2019-03-21T23:43:23+00:00,2.7945,3.31822,0.0,17155,ev_0169
time series data/jpl/Arroyo_Garage_01/1-1-193-825-2020-06-29T13-54-57-458544.csv.gz,jpl,Arroyo_Garage_01,2020-06-29T13:54:57+00:00,2020-06-29T21:57:25+00:00,36.64711,6.533,32.0,76920,ev_0170
time series data/caltech/California_Garage_01/2-39-78-361-2019-02-05T20-38-56-911425.csv.gz,caltech,California_Garage_01,2019-02-05T20:39:01+00:00,2019-02-06T02:15:12+00:00,0.68709,1.70789,0.0,22416,ev_0171
time series data/caltech/California_Garage_01/2-39-88-24-2019-10-24T02-50-44-831476.csv.gz,caltech,California_Garage_01,2019-10-24T02:50:48+00:00,2019-10-24T05:00:15+00:00,13.20196,6.391,32.0,24929,ev_0172
time series data/jpl/Arroyo_Garage_01/1-1-194-822-2020-09-30T15-20-58-339206.csv.gz,jpl,Arroyo_Garage_01,2020-09-30T15:20:58+00:00,2020-09-30T22:26:25+00:00,35.74775,6.469,32.0,84104,ev_0173
time series data/caltech/California_Garage_01/2-39-127-19-2018-05-29T22-08-17-929169.csv.gz,caltech,California_Garage_01,2018-05-29T22:08:21+00:00,2018-05-29T23:32:18+00:00,4.24197,6.265,,15050,ev_0174
time series data/caltech/California_Garage_02/2-6-3-1631-2019-04-06T21-44-33-943717.csv.gz,caltech,California_Garage_02,2019-04-06T21:45:00+00:00,2019-04-06T23:34:09+00:00,18.72276,11.4688,80.0,6961,ev_0175
time series data/caltech/California_Garage_02/2-6-3-1366-2019-10-28T19-39-03-274891.csv.gz,caltech,California_Garage_02,2019-10-28T19:39:03+00:00,2019-10-29T02:07:39+00:00,19.33368,6.75355,0.0,43194,ev_0176
time series data/caltech/N_Wilson_Garage_01/2-137-440-2988-2020-10-18T01-25-14-150560.csv.gz,caltech,N_Wilson_Garage_01,2020-10-18T01:25:15+00:00,2020-10-18T01:58:41+00:00,1.48957,3.337,320.0,6362,ev_0177
time series data/caltech/California_Garage_02/2-6-3-1628-2019-09-11T04-40-29-047170.csv.gz,caltech,California_Garage_02,2019-09-11T04:40:31+00:00,2019-09-11T05:39:22+00:00,7.11602,7.4883,80.0,17698,ev_0178
time series data/caltech/California_Garage_01/2-39-128-562-2018-05-15T08-21-22-000001.csv.gz,caltech,California_Garage_01,2018-05-15T08:21:22+00:00,2018-05-15T13:42:16+00:00,11.09511,3.655,,36094,ev_0179
time series data/caltech/S_Wilson_Garage_01/2-105-277-1698-2020-10-27T16-21-45-308873.csv.gz,caltech,S_Wilson_Garage_01,2020-10-27T16:21:45+00:00,2020-10-28T01:37:50+00:00,7.90961,3.333,32.0,57026,ev_0180
time series data/caltech/California_Garage_02/2-6-3-1629-2019-07-07T21-09-13-090002.csv.gz,caltech,California_Garage_02,2019-07-07T21:09:17+00:00,2019-07-07T22:10:48+00:00,5.70005,11.08214,80.0,4790,ev_0181
time series data/caltech/California_Garage_02/2-6-3-1362-2020-07-31T19-46-41-029324.csv.gz,caltech,California_Garage_02,2020-07-31T19:46:42+00:00,2020-08-01T03:31:59+00:00,1.88684,2.17298,0.0,34207,ev_0182
time series data/caltech/California_Garage_01/2-39-89-25-2018-12-30T16-49-18-209992.csv.gz,caltech,California_Garage_01,2018-12-30T16:49:18+00:00,2018-12-30T18:58:45+00:00,5.2688,3.568,32.0,21021,ev_0183
time series data/caltech/California_Garage_01/2-39-131-30-2018-10-30T23-00-08-715021.csv.gz,caltech,California_Garage_01,2018-10-30T23:00:09+00:00,2018-10-31T01:50:32+00:00,10.73836,6.972,,22039,ev_0184
time series data/caltech/California_Garage_01/2-39-79-376-2019-10-04T16-30-48-871892.csv.gz,caltech,California_Garage_01,2019-10-04T16:30:52+00:00,2019-10-05T01:21:09+00:00,14.01898,3.564,32.0,66152,ev_0185
time series data/caltech/N_Wilson_Garage_01/2-137-440-2988-2020-09-14T16-11-20-751555.csv.gz,caltech,N_Wilson_Garage_01,2020-09-14T16:11:39+00:00,2020-09-15T00:32:25+00:00,26.3087,6.594,32.0,67471,ev_0186
time series data/caltech/California_Garage_01/2-39-91-441-2019-08-22T16-07-52-664706.csv.gz,caltech,California_Garage_01,2019-08-22T16:07:56+00:00,2019-08-23T07:50:45+00:00,10.9717,6.863,32.0,75683,ev_0187
time series data/caltech/California_Garage_01/2-39-78-365-2019-10-10T20-50-29-114840.csv.gz,caltech,California_Garage_01,2019-10-10T20:50:29+00:00,2019-10-10T22:17:11+00:00,8.38088,6.68928,0.0,18747,ev_0188
time series data/caltech/California_Garage_01/2-39-78-362-2020-01-13T16-47-52-309348.csv.gz,caltech,California_Garage_01,2020-01-13T16:47:52+00:00,2020-01-14T00:26:49+00:00,25.98898,6.90269,0.0,84219,ev_0189
time series data/caltech/California_Garage_01/2-39-78-366-2018-11-26T15-17-14-646034.csv.gz,caltech,California_Garage_01,2018-11-26T15:17:15+00:00,2018-11-26T20:37:27+00:00,2.14707,6.83155,0.0,56207,ev_0190
time series data/caltech/California_Garage_01/2-39-91-441-2018-06-06T13-58-34-171978.csv.gz,caltech,California_Garage_01,2018-06-06T13:58:34+00:00,2018-06-06T20:12:32+00:00,15.52218,6.834,,50857,ev_0191
time series data/caltech/California_Garage_02/2-6-3-1627-2019-12-14T15-24-43-009575.csv.gz,caltech,California_Garage_02,2019-12-14T15:24:44+00:00,2019-12-14T15:36:41+00:00,1.67453,9.081,80.0,3561,ev_0192
time series data/caltech/California_Garage_01/2-39-88-438-2019-09-03T17-01-22-357902.csv.gz,caltech,California_Garage_01,2019-09-03T17:01:22+00:00,2019-09-04T02:18:27+00:00,7.13711,7.024,32.0,46322,ev_0193
time series data/caltech/California_Garage_02/2-6-3-1360-2019-03-07T16-02-40-963804.csv.gz,caltech,California_Garage_02,2019-03-07T16:02:42+00:00,2019-03-08T02:12:50+00:00,34.24246,10.21488,0.0,64046,ev_0194
time series data/caltech/California_Garage_01/2-39-78-360-2018-08-01T00-10-57-769743.csv.gz,caltech,California_Garage_01,2018-08-01T00:11:02+00:00,2018-08-01T00:27:57+00:00,0.92449,3.55805,,3138,ev_0195
time series data/caltech/N_Wilson_Garage_01/2-137-521-3844-2020-07-03T05-58-35-098621.csv.gz,caltech,N_Wilson_Garage_01,2020-07-03T05:58:35.098621+00:00,2020-07-03T07:09:32.687731+00:00,47.491,44.9843,125.0,7148,ev_0196
time series data/caltech/California_Garage_02/2-6-3-1357-2019-09-20T01-00-42-662992.csv.gz,caltech,California_Garage_02,2019-09-20T01:00:46+00:00,2019-09-20T05:10:46+00:00,13.88773,3.38312,0.0,43182,ev_0197
time series data/caltech/S_Wilson_Garage_01/2-105-277-1696-2020-08-04T21-41-52-820053.csv.gz,caltech,S_Wilson_Garage_01,2020-08-04T21:41:56+00:00,2020-08-05T01:54:04+00:00,11.36596,3.248,32.0,42601,ev_0198
time series data/caltech/California_Garage_01/2-39-88-24-2018-09-23T23-21-36-858311.csv.gz,caltech,California_Garage_01,2018-09-23T23:21:40+00:00,2018-09-24T00:31:45+00:00,7.84363,7.133,,12810,ev_0199
time series data/caltech/California_Garage_02/2-6-3-1629-2020-09-21T22-23-39-636521.csv.gz,caltech,California_Garage_02,2020-09-21T22:23:41+00:00,2020-09-22T02:11:04+00:00,7.12884,3.50235,16.0,14349,ev_0200
time series data/caltech/California_Garage_01/2-39-78-362-2018-07-24T15-13-09-229765.csv.gz,caltech,California_Garage_01,2018-07-24T15:13:09+00:00,2018-07-25T00:33:55+00:00,3.18618,3.56824,,41821,ev_0201
time series data/caltech/California_Garage_01/2-39-78-361-2018-06-27T05-28-05-637533.csv.gz,caltech,California_Garage_01,2018-06-27T05:28:07+00:00,2018-06-27T07:08:24+00:00,4.19719,6.82136,,13074,ev_0202
time series data/caltech/California_Garage_02/2-6-3-1630-2019-04-07T13-02-21-582804.csv.gz,caltech,California_Garage_02,2019-04-07T13:02:35+00:00,2019-04-07T13:24:28+00:00,6.33975,18.0045,80.0,1785,ev_0203
time series data/caltech/N_Wilson_Garage_01/2-137-440-3987-2020-09-26T00-32-45-550980.csv.gz,caltech,N_Wilson_Garage_01,2020-09-26T00:32:46+00:00,2020-09-26T00:35:03+00:00,0.20884,6.54368,48.0,375,ev_0204
time series data/caltech/California_Garage_01/2-39-88-438-2018-12-06T16-39-53-705727.csv.gz,caltech,California_Garage_01,2018-12-06T16:39:57+00:00,2018-12-06T21:43:08+00:00,1.33642,1.761,8.0,27241,ev_0205
time series data/caltech/California_Garage_01/2-39-90-26-2019-07-18T18-44-50-541843.csv.gz,caltech,California_Garage_01,2019-07-18T18:44:54+00:00,2019-07-18T21:42:33+00:00,2.372,3.498,32.0,18868,ev_0206
time series data/caltech/California_Garage_01/2-39-123-23-2019-10-31T16-37-20-875443.csv.gz,caltech,California_Garage_01,2019-10-31T16:37:23+00:00,2019-10-31T23:39:42+00:00,11.31745,6.533,32.0,53144,ev_0207
time series data/caltech/California_Garage_01/2-39-90-26-2018-08-21T00-02-58-702564.csv.gz,caltech,California_Garage_01,2018-08-21T00:03:02+00:00,2018-08-21T04:38:22+00:00,12.51945,6.722,,30687,ev_0208
time series data/caltech/California_Garage_01/2-39-125-21-2018-09-17T14-25-28-635954.csv.gz,caltech,California_Garage_01,2018-09-17T14:25:32+00:00,2018-09-18T00:23:52+00:00,14.04719,6.981,,48571,ev_0209
time series data/caltech/N_Wilson_Garage_01/2-137-441-3009-2020-07-08T02-12-45-340024.csv.gz,caltech,N_Wilson_Garage_01,2020-07-08T02:12:45+00:00,2020-07-08T02:41:23+00:00,1.49731,3.34,32.0,5245,ev_0210
time series data/caltech/California_Garage_02/2-6-3-1623-2019-11-14T23-02-01-709963.csv.gz,caltech,California_Garage_02,2019-11-14T23:02:02+00:00,2019-11-15T00:30:26+00:00,15.95405,11.16146,80.0,21806,ev_0211
time series data/jpl/Arroyo_Garage_01/1-1-178-823-2020-11-11T07-11-58-218890.csv.gz,jpl,Arroyo_Garage_01,2020-11-11T07:12:01+00:00,2020-11-11T09:02:53+00:00,5.21481,3.385,32.0,19998,ev_0212
time series data/caltech/California_Garage_02/2-6-3-1364-2020-02-21T16-10-35-369920.csv.gz,caltech,California_Garage_02,2020-02-21T16:10:39+00:00,2020-02-22T01:30:17+00:00,5.20057,3.33112,0.0,38213,ev_0213
time series data/caltech/California_Garage_01/2-39-79-383-2018-08-23T21-41-41-497236.csv.gz,caltech,California_Garage_01,2018-08-23T21:41:41+00:00,2018-08-24T02:21:51+00:00,12.39434,3.373,,44452,ev_0214
time series data/caltech/California_Garage_02/2-6-3-1629-2019-09-03T15-27-47-689456.csv.gz,caltech,California_Garage_02,2019-09-03T15:27:50+00:00,2019-09-03T18:56:31+00:00,18.83543,7.19946,80.0,59339,ev_0215
time series data/caltech/S_Wilson_Garage_01/2-105-277-1698-2019-09-05T16-09-29-540462.csv.gz,caltech,S_Wilson_Garage_01,2019-09-05T16:09:33+00:00,2019-09-06T00:50:11+00:00,24.36874,6.498,32.0,69281,ev_0216
time series data/caltech/California_Garage_02/2-6-3-1628-2020-02-17T18-26-22-813412.csv.gz,caltech,California_Garage_02,2020-02-17T18:26:23+00:00,2020-02-18T03:55:04+00:00,16.76949,7.33001,79.0,76809,ev_0217
time series data/caltech/California_Garage_02/2-6-3-1624-2019-09-08T04-00-06-194901.csv.gz,caltech,California_Garage_02,2019-09-08T04:00:08+00:00,2019-09-08T04:20:49+00:00,2.42654,7.29675,80.0,6344,ev_0218
time series data/caltech/California_Garage_02/2-6-3-1367-2019-05-30T15-22-58-892945.csv.gz,caltech,California_Garage_02,2019-05-30T15:23:09+00:00,2019-05-30T22:05:19+00:00,1.85514,3.34422,0.0,16660,ev_0219
time series data/caltech/California_Garage_02/2-6-3-1627-2019-11-10T18-00-14-137466.csv.gz,caltech,California_Garage_02,2019-11-10T18:00:16+00:00,2019-11-10T19:38:58+00:00,17.36077,10.9723,80.0,24659,ev_0220
time series data/caltech/California_Garage_01/2-39-88-438-2018-08-16T15-50-15-648102.csv.gz,caltech,California_Garage_01,2018-08-16T15:50:19+00:00,2018-08-16T20:09:33+00:00,10.14747,3.081,,44026,ev_0221
time series data/caltech/California_Garage_02/2-6-3-1630-2019-04-28T14-53-10-908630.csv.gz,caltech,California_Garage_02,2019-04-28T14:53:16+00:00,2019-04-28T15:38:44+00:00,5.4168,7.4328,80.0,6991,ev_0222
time series data/caltech/California_Garage_01/2-39-78-366-2018-11-18T21-34-31-234734.csv.gz,caltech,California_Garage_01,2018-11-18T21:34:33+00:00,2018-11-19T03:46:50+00:00,0.87582,1.65693,0.0,20785,ev_0223
time series data/caltech/California_Garage_02/2-6-3-1630-2020-11-14T22-23-20-058918.csv.gz,caltech,California_Garage_02,2020-11-14T22:23:20+00:00,2020-11-14T22:26:28+00:00,0.37578,9.05957,72.0,471,ev_0224
time series data/caltech/California_Garage_01/2-39-139-28-2019-01-08T01-23-26-254818.csv.gz,caltech,California_Garage_01,2019-01-08T01:23:26+00:00,2019-01-08T02:35:17+00:00,0.93988,1.728,8.0,9404,ev_0225
time series data/caltech/California_Garage_01/2-39-79-383-2018-09-25T20-48-34-452789.csv.gz,caltech,California_Garage_01,2018-09-25T20:48:34+00:00,2018-09-26T00:58:16+00:00,9.02107,4.022,,35187,ev_0226
time series data/caltech/California_Garage_01/2-39-139-567-2018-06-03T08-18-25-566071.csv.gz,caltech,California_Garage_01,2018-06-03T08:18:29+00:00,2018-06-04T02:23:09+00:00,13.5165,3.699,,102520,ev_0227
time series data/caltech/California_Garage_02/2-6-3-1365-2018-12-27T19-31-42-155784.csv.gz,caltech,California_Garage_02,2018-12-27T19:31:42+00:00,2018-12-27T23:25:06+00:00,16.02177,6.07693,0.0,38845,ev_0228
time series data/caltech/California_Garage_02/2-6-3-1627-2019-10-09T20-03-29-941640.csv.gz,caltech,California_Garage_02,2019-10-09T20:03:30+00:00,2019-10-09T21:00:23+00:00,7.43008,11.00475,80.0,11519,ev_0229
time series data/caltech/California_Garage_01/2-39-78-365-2020-11-12T21-53-53-225305.csv.gz,caltech,California_Garage_01,2020-11-12T21:53:57+00:00,2020-11-13T02:35:35+00:00,2.26346,2.27718,0.0,27503,ev_0230
time series data/caltech/California_Garage_01/2-39-130-31-2018-07-06T14-51-02-564821.csv.gz,caltech,California_Garage_01,2018-07-06T14:51:06+00:00,2018-07-06T16:36:31+00:00,2.69279,1.595,,17531,ev_0231
time series data/caltech/California_Garage_02/2-6-3-1627-2019-10-11T15-15-44-044662.csv.gz,caltech,California_Garage_02,2019-10-11T15:15:45+00:00,2019-10-11T18:19:34+00:00,18.6325,9.3258,42.0,52903,ev_0232
time series data/caltech/California_Garage_02/2-6-3-1629-2019-08-09T00-36-38-731226.csv.gz,caltech,California_Garage_02,2019-08-09T00:36:39+00:00,2019-08-09T00:54:22+00:00,4.92524,17.8574,80.0,5816,ev_0233
time series data/caltech/California_Garage_02/2-6-3-1629-2020-03-01T23-13-04-044179.csv.gz,caltech,California_Garage_02,2020-03-01T23:13:04+00:00,2020-03-02T00:36:35+00:00,12.61628,10.7968,80.0,20435,ev_0234
time series data/caltech/California_Garage_02/2-6-3-1627-2020-05-08T02-02-56-583680.csv.gz,caltech,California_Garage_02,2020-05-08T02:02:57+00:00,2020-05-08T05:44:33+00:00,26.37462,7.36288,80.0,52314,ev_0235
time series data/caltech/California_Garage_01/2-39-129-17-2018-09-25T19-23-55-107549.csv.gz,caltech,California_Garage_01,2018-09-25T19:23:55+00:00,2018-09-25T20:19:21+00:00,1.59576,1.763,,9105,ev_0236
time series data/caltech/California_Garage_01/2-39-125-21-2019-01-05T22-09-01-903665.csv.gz,caltech,California_Garage_01,2019-01-05T22:09:03+00:00,2019-01-05T23:57:03+00:00,0.01673,0.034,32.0,16254,ev_0237
time series data/caltech/California_Garage_01/2-39-125-21-2019-03-15T02-34-14-882134.csv.gz,caltech,California_Garage_01,2019-03-15T02:34:18+00:00,2019-03-15T13:58:25+00:00,12.51814,6.918,32.0,55279,ev_0238
