id,heater_type,rated_power_kw,tank_capacity_l,minimum_comfort_temp_c,maximum_temp_c,recovery_rate_c_per_hour,baseline_duty_cycle,dataset_split,data_classification
wh-0281,electric_resistance,4.354706,226.484,49.978,57.89,8.21,0.178194,train,SYNTHETIC
wh-0282,electric_resistance,4.237335,154.654,49.064,57.838,10.252,0.176556,train,SYNTHETIC
wh-0283,electric_resistance,4.88121,255.953,50.954,57.932,10.018,0.242792,train,SYNTHETIC
wh-0284,electric_resistance,4.470582,235.559,48.636,59.972,7.626,0.199756,train,SYNTHETIC
wh-0285,heat_pump,4.951912,150.864,50.177,59.039,5.404,0.245346,train,SYNTHETIC
wh-0286,heat_pump,4.427983,292.675,48.162,60.637,4.26,0.346186,train,SYNTHETIC
wh-0287,heat_pump,3.903966,192.737,49.504,58.162,4.288,0.3316,train,SYNTHETIC
wh-0288,heat_pump,4.544866,225.167,50.549,59.103,5.529,0.355154,train,SYNTHETIC
wh-0289,heat_pump,4.645789,273.474,50.838,59.508,5.921,0.304013,train,SYNTHETIC
wh-0290,electric_resistance,4.837762,289.481,50.386,57.381,10.316,0.23744,train,SYNTHETIC
wh-0291,electric_resistance,5.309614,278.509,49.641,60.556,8.847,0.267593,train,SYNTHETIC
wh-0292,electric_resistance,4.618272,240.892,50.678,60.153,9.142,0.130971,train,SYNTHETIC
wh-0293,electric_resistance,4.490591,262.269,48.008,58.69,9.635,0.172659,train,SYNTHETIC
wh-0294,electric_resistance,4.308507,158.062,50.067,59.316,8.315,0.259268,train,SYNTHETIC
wh-0295,electric_resistance,4.581462,173.467,50.837,60.818,11.854,0.276697,train,SYNTHETIC
wh-0296,heat_pump,4.539247,256.597,50.557,57.136,6.773,0.318388,train,SYNTHETIC
wh-0297,heat_pump,4.914604,155.899,50.239,59.628,5.022,0.302366,train,SYNTHETIC
wh-0298,heat_pump,3.867238,172.51,49.346,60.533,6.493,0.367627,train,SYNTHETIC
wh-0299,heat_pump,4.371824,179.681,49.379,58.777,5.756,0.225126,train,SYNTHETIC
wh-0300,electric_resistance,4.496475,157.203,49.399,57.454,10.942,0.128207,train,SYNTHETIC
wh-0301,heat_pump,3.923902,265.289,48.099,57.544,5.806,0.337861,train,SYNTHETIC
wh-0302,heat_pump,4.671867,274.769,50.658,60.264,6.992,0.345636,train,SYNTHETIC
wh-0303,heat_pump,4.147239,266.847,48.099,60.609,4.223,0.357993,train,SYNTHETIC
wh-0304,electric_resistance,4.591923,183.495,50.995,60.789,10.253,0.263054,train,SYNTHETIC
wh-0305,electric_resistance,4.204806,245.494,48.142,60.993,7.904,0.203154,train,SYNTHETIC
wh-0306,electric_resistance,4.597893,218.928,50.379,59.988,11.472,0.287801,train,SYNTHETIC
wh-0307,heat_pump,4.17594,157.683,50.352,59.57,4.197,0.230898,train,SYNTHETIC
wh-0308,heat_pump,4.190865,180.415,48.319,58.721,4.084,0.366273,train,SYNTHETIC
wh-0309,electric_resistance,4.766502,207.707,49.441,60.303,8.499,0.241013,train,SYNTHETIC
wh-0310,heat_pump,4.794845,296.851,48.804,59.36,4.203,0.274047,train,SYNTHETIC
wh-0311,heat_pump,4.827565,231.144,50.719,59.87,6.587,0.263092,train,SYNTHETIC
wh-0312,heat_pump,3.988147,297.921,50.037,58.808,4.762,0.301756,train,SYNTHETIC
wh-0313,heat_pump,4.994275,267.81,50.013,59.643,5.213,0.258226,train,SYNTHETIC
wh-0314,heat_pump,4.343628,222.317,48.535,58.495,5.049,0.187309,train,SYNTHETIC
wh-0315,heat_pump,4.590004,184.839,50.565,59.471,5.487,0.365987,train,SYNTHETIC
wh-0316,heat_pump,4.101269,287.498,48.275,57.436,5.626,0.288433,train,SYNTHETIC
wh-0317,heat_pump,4.176467,237.208,48.308,60.519,4.74,0.304824,train,SYNTHETIC
wh-0318,electric_resistance,4.542298,288.836,50.649,60.887,8.441,0.257668,train,SYNTHETIC
wh-0319,heat_pump,4.93939,193.994,49.065,58.969,4.379,0.340327,train,SYNTHETIC
wh-0320,heat_pump,4.242723,292.891,48.415,57.719,4.394,0.311594,train,SYNTHETIC
wh-0321,heat_pump,3.803031,162.872,48.902,58.709,5.082,0.276332,train,SYNTHETIC
wh-0322,heat_pump,4.295153,173.341,50.103,60.381,6.552,0.242111,train,SYNTHETIC
wh-0323,heat_pump,4.068528,163.396,50.493,58.887,5.293,0.307743,train,SYNTHETIC
wh-0324,heat_pump,4.455309,281.126,48.888,59.84,5.781,0.207368,train,SYNTHETIC
wh-0325,heat_pump,3.901755,189.982,48.69,58.973,5.302,0.275625,train,SYNTHETIC
wh-0326,heat_pump,4.405734,205.552,49.69,57.206,5.634,0.317533,train,SYNTHETIC
wh-0327,heat_pump,4.645918,198.323,48.828,60.197,5.685,0.307687,train,SYNTHETIC
wh-0328,electric_resistance,4.368212,162.489,49.789,58.244,8.058,0.237088,train,SYNTHETIC
wh-0329,electric_resistance,5.450298,269.901,49.476,58.667,10.02,0.239297,train,SYNTHETIC
wh-0330,electric_resistance,4.992443,200.052,49.766,58.1,9.931,0.208975,train,SYNTHETIC
wh-0331,electric_resistance,4.082331,202.211,50.982,59.488,11.856,0.277742,train,SYNTHETIC
wh-0332,heat_pump,4.3755,187.905,48.049,58.994,5.336,0.367419,train,SYNTHETIC
wh-0333,electric_resistance,4.02997,188.664,50.917,57.363,7.677,0.146938,train,SYNTHETIC
wh-0334,heat_pump,4.110369,177.505,50.124,58.45,6.473,0.3588,train,SYNTHETIC
wh-0335,heat_pump,4.690245,222.463,50.14,59.72,6.038,0.365278,train,SYNTHETIC
wh-0336,electric_resistance,4.144538,215.603,50.646,59.733,11.343,0.13392,train,SYNTHETIC
wh-0337,electric_resistance,4.98669,268.122,48.872,58.636,8.287,0.225037,train,SYNTHETIC
wh-0338,heat_pump,4.79911,271.463,50.584,57.862,4.488,0.217932,train,SYNTHETIC
wh-0339,heat_pump,4.549304,262.366,49.972,60.238,5.418,0.355324,train,SYNTHETIC
wh-0340,electric_resistance,4.19139,170.33,49.18,60.943,10.956,0.26606,train,SYNTHETIC
wh-0341,heat_pump,4.793327,179.672,50.871,57.858,6.328,0.198512,train,SYNTHETIC
wh-0342,electric_resistance,4.118966,195.461,48.593,58.315,11.309,0.215561,train,SYNTHETIC
wh-0343,heat_pump,4.692842,249.333,49.707,60.256,5.204,0.362767,train,SYNTHETIC
wh-0344,heat_pump,4.185573,191.916,48.948,60.714,6.28,0.183827,train,SYNTHETIC
wh-0345,heat_pump,3.859701,268.57,49.481,58.582,5.91,0.343284,train,SYNTHETIC
wh-0346,heat_pump,4.591849,205.473,50.2,60.171,6.374,0.333188,train,SYNTHETIC
wh-0347,heat_pump,3.805762,251.556,49.488,59.992,5.331,0.235356,train,SYNTHETIC
wh-0348,heat_pump,4.576354,156.324,49.741,59.677,4.659,0.35032,train,SYNTHETIC
wh-0349,electric_resistance,4.061273,215.306,49.332,57.611,8.684,0.213122,train,SYNTHETIC
wh-0350,heat_pump,4.109631,258.278,48.43,59.19,4.812,0.282431,train,SYNTHETIC
wh-0351,heat_pump,3.837879,264.867,48.76,59.321,6.652,0.30589,train,SYNTHETIC
wh-0352,heat_pump,4.808752,196.393,48.235,57.535,5.169,0.352517,train,SYNTHETIC
wh-0353,electric_resistance,4.276408,228.148,49.708,58.581,8.163,0.135721,train,SYNTHETIC
wh-0354,heat_pump,3.807098,183.04,49.463,59.066,6.741,0.211807,train,SYNTHETIC
wh-0355,heat_pump,4.318613,209.597,50.185,60.83,4.058,0.21142,train,SYNTHETIC
wh-0356,heat_pump,3.820444,297.293,50.808,58.384,5.434,0.35981,train,SYNTHETIC
wh-0357,electric_resistance,4.563426,276.195,49.968,58.05,9.138,0.162472,train,SYNTHETIC
wh-0358,heat_pump,4.991098,297.681,50.22,60.467,5.297,0.321911,train,SYNTHETIC
wh-0359,heat_pump,4.591587,199.908,48.053,59.523,6.421,0.20318,train,SYNTHETIC
wh-0360,electric_resistance,5.176175,213.364,48.433,60.395,11.784,0.127585,train,SYNTHETIC
wh-0361,electric_resistance,4.743359,248.545,49.273,59.163,9.696,0.180546,train,SYNTHETIC
wh-0362,heat_pump,4.683512,297.171,48.557,57.421,6.203,0.301567,train,SYNTHETIC
wh-0363,heat_pump,4.100641,258.58,49.91,60.719,4.572,0.274497,train,SYNTHETIC
wh-0364,heat_pump,4.811299,184.351,48.448,58.59,5.724,0.19766,train,SYNTHETIC
wh-0365,heat_pump,4.228117,187.961,49.222,57.687,5.466,0.353391,train,SYNTHETIC
wh-0366,heat_pump,4.317545,185.251,49.661,58.278,5.78,0.280808,train,SYNTHETIC
wh-0367,electric_resistance,5.46846,281.48,48.383,58.327,11.389,0.12351,train,SYNTHETIC
wh-0368,electric_resistance,5.230152,230.338,48.533,59.387,7.632,0.176172,train,SYNTHETIC
wh-0369,heat_pump,4.57062,182.326,48.009,58.71,5.314,0.343969,train,SYNTHETIC
wh-0370,heat_pump,4.085019,272.252,48.621,60.891,5.997,0.182932,train,SYNTHETIC
wh-0371,electric_resistance,4.855145,245.07,48.378,59.607,8.932,0.152389,train,SYNTHETIC
wh-0372,heat_pump,4.298215,288.733,50.313,59.815,4.243,0.202635,train,SYNTHETIC
wh-0373,heat_pump,4.993989,259.073,49.754,57.549,4.217,0.347611,train,SYNTHETIC
wh-0374,heat_pump,4.232494,231.349,50.113,60.518,4.866,0.333886,train,SYNTHETIC
wh-0375,heat_pump,4.06033,208.361,50.855,58.715,6.274,0.339316,train,SYNTHETIC
wh-0376,heat_pump,4.721558,223.738,48.723,58.726,6.396,0.318623,train,SYNTHETIC
wh-0377,heat_pump,4.004367,229.355,48.708,57.685,4.652,0.182875,train,SYNTHETIC
wh-0378,heat_pump,4.051281,245.254,48.541,58.333,6.26,0.204742,train,SYNTHETIC
wh-0379,heat_pump,4.919145,270.897,50.234,60.601,5.847,0.202044,train,SYNTHETIC
wh-0380,heat_pump,3.995111,182.349,50.861,58.0,6.325,0.363182,train,SYNTHETIC
wh-0381,heat_pump,3.972066,219.263,49.775,57.22,6.265,0.218114,train,SYNTHETIC
wh-0382,heat_pump,4.189039,293.51,48.899,57.625,5.806,0.276195,train,SYNTHETIC
wh-0383,heat_pump,4.585288,254.527,50.643,59.09,4.966,0.285775,train,SYNTHETIC
wh-0384,heat_pump,4.829399,271.217,50.918,60.747,5.833,0.317108,train,SYNTHETIC
wh-0385,electric_resistance,4.688796,260.296,50.876,58.701,11.977,0.125415,train,SYNTHETIC
wh-0386,electric_resistance,4.790482,193.707,48.858,59.1,8.095,0.282485,train,SYNTHETIC
wh-0387,heat_pump,4.606362,186.926,50.165,58.428,4.683,0.344347,train,SYNTHETIC
wh-0388,electric_resistance,4.102248,244.92,50.705,60.909,7.84,0.168556,train,SYNTHETIC
wh-0389,electric_resistance,4.573077,158.238,50.701,60.634,9.963,0.206386,train,SYNTHETIC
wh-0390,electric_resistance,4.298021,267.835,48.84,60.662,10.561,0.245309,train,SYNTHETIC
wh-0391,heat_pump,3.853967,266.084,48.491,57.11,4.03,0.253261,train,SYNTHETIC
wh-0392,heat_pump,4.34667,188.73,48.13,60.546,6.37,0.301411,train,SYNTHETIC
wh-0393,heat_pump,4.788018,214.949,48.937,57.724,4.764,0.220276,train,SYNTHETIC
wh-0394,heat_pump,4.547538,261.277,49.965,57.988,4.725,0.290886,train,SYNTHETIC
wh-0395,electric_resistance,4.389926,279.528,50.56,57.389,8.375,0.215833,train,SYNTHETIC
wh-0396,electric_resistance,4.433704,245.92,49.549,58.72,8.603,0.16268,train,SYNTHETIC
wh-0397,heat_pump,4.230415,280.616,50.11,60.115,5.192,0.264027,train,SYNTHETIC
wh-0398,heat_pump,4.987495,199.551,48.79,59.603,6.255,0.268235,train,SYNTHETIC
wh-0399,electric_resistance,4.442103,217.564,48.682,57.14,7.009,0.188264,train,SYNTHETIC
wh-0400,electric_resistance,5.109359,230.057,48.562,57.713,8.558,0.268364,train,SYNTHETIC
wh-0401,electric_resistance,5.465537,281.066,48.682,59.379,9.8,0.175657,train,SYNTHETIC
wh-0402,heat_pump,4.809736,230.034,50.771,57.716,6.65,0.245134,train,SYNTHETIC
wh-0403,electric_resistance,4.444153,224.588,50.878,58.78,8.07,0.154834,train,SYNTHETIC
wh-0404,electric_resistance,4.506941,239.665,49.015,59.017,9.489,0.176728,train,SYNTHETIC
wh-0405,electric_resistance,4.878936,257.964,48.273,59.356,9.061,0.188712,train,SYNTHETIC
wh-0406,electric_resistance,4.82951,296.859,48.364,57.738,8.22,0.169649,train,SYNTHETIC
wh-0407,heat_pump,4.339353,299.386,49.179,58.423,4.687,0.369492,train,SYNTHETIC
wh-0408,heat_pump,4.186795,259.277,49.814,57.456,5.63,0.35055,train,SYNTHETIC
wh-0409,heat_pump,3.889205,297.985,50.951,57.659,6.529,0.336618,train,SYNTHETIC
wh-0410,electric_resistance,4.044696,192.038,49.228,58.73,11.347,0.211664,train,SYNTHETIC
wh-0411,heat_pump,3.824215,267.875,49.426,59.896,4.125,0.187388,train,SYNTHETIC
wh-0412,heat_pump,4.889744,176.924,48.014,58.287,6.422,0.275351,train,SYNTHETIC
wh-0413,heat_pump,4.552614,199.744,48.237,57.554,6.893,0.272702,train,SYNTHETIC
wh-0414,heat_pump,3.876085,242.364,48.522,58.243,6.619,0.358023,train,SYNTHETIC
wh-0415,electric_resistance,4.060818,169.277,50.301,57.269,11.331,0.225219,train,SYNTHETIC
wh-0416,heat_pump,4.558677,297.986,50.123,59.389,6.749,0.224503,train,SYNTHETIC
wh-0417,heat_pump,3.859457,178.399,50.345,59.065,6.287,0.276875,train,SYNTHETIC
wh-0418,heat_pump,4.979965,297.751,48.877,58.285,6.836,0.354565,train,SYNTHETIC
wh-0419,electric_resistance,4.770365,287.353,49.985,57.55,9.743,0.223462,train,SYNTHETIC
wh-0420,electric_resistance,4.208678,264.201,48.934,60.211,9.357,0.123115,train,SYNTHETIC
wh-0421,electric_resistance,4.811249,181.957,48.366,58.478,7.376,0.170747,train,SYNTHETIC
wh-0422,heat_pump,4.332893,233.16,50.588,60.345,6.348,0.287254,train,SYNTHETIC
wh-0423,heat_pump,4.294198,189.352,50.461,59.736,5.797,0.28509,train,SYNTHETIC
wh-0424,heat_pump,4.811268,198.223,48.196,57.426,5.923,0.316777,train,SYNTHETIC
wh-0425,electric_resistance,5.182609,183.271,49.237,60.752,8.483,0.186886,train,SYNTHETIC
wh-0426,heat_pump,4.001118,186.696,50.418,60.926,5.275,0.278984,train,SYNTHETIC
wh-0427,electric_resistance,5.117698,292.43,49.24,57.518,10.133,0.285616,train,SYNTHETIC
wh-0428,heat_pump,4.316245,229.583,49.747,58.322,4.04,0.331139,train,SYNTHETIC
wh-0429,electric_resistance,4.087957,203.002,49.124,59.52,7.162,0.206452,train,SYNTHETIC
wh-0430,heat_pump,4.471049,195.766,50.798,59.082,4.116,0.371703,train,SYNTHETIC
wh-0431,heat_pump,4.189624,204.812,50.342,57.997,6.307,0.200603,train,SYNTHETIC
wh-0432,electric_resistance,5.064469,177.102,48.117,60.799,11.381,0.177914,train,SYNTHETIC
wh-0433,heat_pump,3.801592,299.0,48.181,59.198,6.473,0.269957,train,SYNTHETIC
wh-0434,electric_resistance,5.252478,272.147,48.601,57.394,10.585,0.18229,train,SYNTHETIC
wh-0435,electric_resistance,4.450781,230.119,50.988,58.057,11.008,0.18316,train,SYNTHETIC
wh-0436,heat_pump,4.21633,227.269,49.724,57.311,5.987,0.192551,train,SYNTHETIC
wh-0437,electric_resistance,4.952212,248.887,49.089,58.681,7.36,0.205785,train,SYNTHETIC
wh-0438,heat_pump,4.971738,189.576,49.741,57.657,4.944,0.230775,train,SYNTHETIC
wh-0439,electric_resistance,4.592049,189.675,49.048,60.46,7.259,0.131925,train,SYNTHETIC
wh-0440,heat_pump,4.09672,186.724,48.385,60.591,5.617,0.379052,train,SYNTHETIC
wh-0441,heat_pump,4.236898,292.564,50.444,60.01,6.811,0.369648,train,SYNTHETIC
wh-0442,electric_resistance,5.476546,271.677,50.637,57.56,11.173,0.15734,train,SYNTHETIC
wh-0443,heat_pump,4.426433,192.274,48.81,58.645,5.029,0.290684,train,SYNTHETIC
wh-0444,electric_resistance,4.373783,164.402,49.198,59.968,7.934,0.175275,train,SYNTHETIC
wh-0445,heat_pump,4.306894,166.648,50.769,58.523,6.05,0.193027,train,SYNTHETIC
wh-0446,heat_pump,4.549129,161.559,48.988,60.492,6.849,0.375908,train,SYNTHETIC
wh-0447,heat_pump,4.584248,235.399,50.449,58.85,6.893,0.319109,train,SYNTHETIC
wh-0448,heat_pump,4.732936,269.952,50.593,58.296,6.997,0.334367,train,SYNTHETIC
wh-0449,heat_pump,4.794335,207.015,50.793,60.266,6.093,0.264611,train,SYNTHETIC
wh-0450,electric_resistance,5.45065,150.064,50.303,59.364,7.392,0.237911,train,SYNTHETIC
wh-0451,heat_pump,4.307057,160.382,48.04,59.939,5.065,0.363626,train,SYNTHETIC
wh-0452,heat_pump,4.236598,250.865,50.978,59.595,4.344,0.185298,train,SYNTHETIC
wh-0453,heat_pump,4.447726,151.408,49.75,59.775,4.957,0.360746,train,SYNTHETIC
wh-0454,heat_pump,4.850218,260.818,50.052,57.963,5.987,0.346421,train,SYNTHETIC
wh-0455,heat_pump,4.554855,209.007,49.695,58.762,5.294,0.340136,train,SYNTHETIC
wh-0456,electric_resistance,4.664675,230.52,50.726,60.881,7.056,0.277869,train,SYNTHETIC
wh-0457,heat_pump,4.068977,298.937,49.726,59.306,5.122,0.183004,train,SYNTHETIC
wh-0458,heat_pump,3.906902,210.401,49.603,57.28,4.164,0.197459,train,SYNTHETIC
wh-0459,heat_pump,4.199732,237.517,50.204,57.107,5.028,0.210188,train,SYNTHETIC
wh-0460,electric_resistance,5.399842,238.578,50.482,58.895,9.288,0.243282,train,SYNTHETIC
wh-0461,heat_pump,4.479118,166.952,49.584,58.048,5.314,0.206955,train,SYNTHETIC
wh-0462,electric_resistance,5.207949,240.683,49.994,60.549,7.75,0.169225,train,SYNTHETIC
wh-0463,heat_pump,4.912133,204.774,49.931,59.073,4.6,0.295088,train,SYNTHETIC
wh-0464,heat_pump,3.982488,264.866,49.266,58.885,5.117,0.184928,train,SYNTHETIC
wh-0465,heat_pump,4.221264,204.506,50.595,57.92,5.97,0.189878,train,SYNTHETIC
wh-0466,heat_pump,4.404332,189.703,49.029,60.076,6.275,0.338328,train,SYNTHETIC
wh-0467,electric_resistance,5.397602,200.217,50.902,57.747,7.348,0.233299,train,SYNTHETIC
wh-0468,heat_pump,3.895985,188.276,50.276,58.091,5.085,0.327487,train,SYNTHETIC
wh-0469,heat_pump,4.921584,156.782,49.361,57.757,4.542,0.345359,train,SYNTHETIC
wh-0470,heat_pump,3.808741,161.3,50.65,60.983,6.047,0.364842,train,SYNTHETIC
wh-0471,heat_pump,4.067287,170.147,50.817,60.803,4.605,0.219692,train,SYNTHETIC
wh-0472,electric_resistance,4.884644,245.228,50.967,59.88,10.788,0.178292,train,SYNTHETIC
wh-0473,electric_resistance,4.054882,286.835,49.954,59.183,10.757,0.234005,train,SYNTHETIC
wh-0474,heat_pump,4.803526,168.923,49.564,60.875,6.785,0.298099,train,SYNTHETIC
wh-0475,electric_resistance,5.331211,162.795,48.636,60.904,10.153,0.174911,train,SYNTHETIC
wh-0476,heat_pump,3.918204,176.178,48.651,58.131,4.12,0.27641,train,SYNTHETIC
wh-0477,electric_resistance,5.115123,198.547,50.122,57.138,7.766,0.164995,train,SYNTHETIC
wh-0478,electric_resistance,4.687298,212.869,48.984,57.313,11.482,0.159304,train,SYNTHETIC
wh-0479,heat_pump,4.82839,206.506,50.757,59.09,4.242,0.265201,train,SYNTHETIC
wh-0480,heat_pump,4.968902,280.621,50.542,58.409,5.676,0.244179,train,SYNTHETIC
wh-0481,heat_pump,4.381764,235.613,48.76,60.85,6.826,0.328159,train,SYNTHETIC
wh-0482,heat_pump,4.674667,212.753,49.112,57.886,4.797,0.216383,train,SYNTHETIC
wh-0483,heat_pump,3.90104,266.032,49.015,60.126,5.919,0.195699,train,SYNTHETIC
wh-0484,heat_pump,4.740852,291.016,48.206,59.919,4.23,0.378817,train,SYNTHETIC
wh-0485,heat_pump,4.69132,222.622,48.715,59.962,6.158,0.37851,train,SYNTHETIC
wh-0486,heat_pump,4.161812,293.502,48.516,58.213,6.42,0.313367,train,SYNTHETIC
wh-0487,heat_pump,4.91375,258.802,50.473,59.472,5.749,0.373205,train,SYNTHETIC
wh-0488,heat_pump,4.446858,155.879,48.476,59.481,4.302,0.26185,train,SYNTHETIC
wh-0489,heat_pump,4.611663,231.741,49.908,57.522,5.698,0.349539,train,SYNTHETIC
wh-0490,electric_resistance,4.679968,151.0,50.231,59.266,7.281,0.277032,train,SYNTHETIC
wh-0491,electric_resistance,4.498478,261.294,49.464,57.197,8.408,0.236385,validation,SYNTHETIC
wh-0492,heat_pump,4.40166,266.223,49.082,58.485,6.942,0.239642,validation,SYNTHETIC
wh-0493,heat_pump,4.642953,186.294,49.042,59.773,4.326,0.300563,validation,SYNTHETIC
wh-0494,heat_pump,4.177953,191.952,50.394,59.77,5.303,0.33987,validation,SYNTHETIC
wh-0495,electric_resistance,5.243947,178.785,49.536,58.677,9.473,0.255787,validation,SYNTHETIC
wh-0496,heat_pump,4.838489,219.77,48.993,59.549,5.764,0.291765,validation,SYNTHETIC
wh-0497,heat_pump,3.926322,241.59,50.861,58.607,4.313,0.188691,validation,SYNTHETIC
wh-0498,heat_pump,4.693439,179.327,48.605,57.283,4.085,0.196062,validation,SYNTHETIC
wh-0499,heat_pump,4.194139,188.341,49.065,58.716,4.827,0.232986,validation,SYNTHETIC
wh-0500,heat_pump,4.27818,223.711,49.878,59.29,4.303,0.214083,validation,SYNTHETIC
wh-0501,heat_pump,4.966489,236.343,50.488,59.184,6.042,0.328208,validation,SYNTHETIC
wh-0502,heat_pump,4.731269,212.24,48.708,58.723,4.438,0.3475,validation,SYNTHETIC
wh-0503,heat_pump,4.465288,253.501,49.755,60.516,4.871,0.256031,validation,SYNTHETIC
wh-0504,heat_pump,3.813611,273.677,49.665,57.164,5.888,0.191175,validation,SYNTHETIC
wh-0505,heat_pump,4.10889,194.775,48.995,59.799,5.83,0.326328,validation,SYNTHETIC
wh-0506,electric_resistance,4.800505,189.253,50.272,60.529,9.693,0.200759,validation,SYNTHETIC
wh-0507,heat_pump,4.340996,215.739,48.458,59.911,6.875,0.336601,validation,SYNTHETIC
wh-0508,heat_pump,3.987854,188.386,49.307,57.59,6.973,0.184345,validation,SYNTHETIC
wh-0509,electric_resistance,4.814228,244.117,49.389,60.855,9.922,0.193314,validation,SYNTHETIC
wh-0510,heat_pump,4.43791,174.108,48.545,60.124,4.892,0.304525,validation,SYNTHETIC
wh-0511,electric_resistance,4.7489,287.429,48.545,57.285,7.075,0.297176,validation,SYNTHETIC
wh-0512,heat_pump,4.647417,283.688,49.866,58.531,6.279,0.321574,validation,SYNTHETIC
wh-0513,heat_pump,4.073602,178.989,48.461,60.051,4.514,0.243997,validation,SYNTHETIC
wh-0514,electric_resistance,4.334682,275.723,50.26,59.145,10.488,0.297885,validation,SYNTHETIC
wh-0515,heat_pump,4.930732,183.758,48.285,58.375,5.319,0.183269,validation,SYNTHETIC
wh-0516,heat_pump,4.75371,231.547,50.254,57.743,5.978,0.196817,validation,SYNTHETIC
wh-0517,heat_pump,4.886833,224.039,49.44,57.195,4.273,0.315975,validation,SYNTHETIC
wh-0518,heat_pump,4.545366,248.254,49.631,59.954,5.441,0.274952,validation,SYNTHETIC
wh-0519,heat_pump,3.838847,179.683,50.465,58.595,5.902,0.238829,validation,SYNTHETIC
wh-0520,heat_pump,4.477607,232.575,48.703,59.933,5.503,0.193021,validation,SYNTHETIC
wh-0521,heat_pump,4.827055,279.473,48.237,58.226,4.87,0.185235,validation,SYNTHETIC
wh-0522,electric_resistance,5.226999,223.772,49.444,60.577,7.196,0.131924,validation,SYNTHETIC
wh-0523,heat_pump,3.971856,181.749,49.084,57.396,6.979,0.190299,validation,SYNTHETIC
wh-0524,electric_resistance,4.49648,265.221,48.842,60.579,7.893,0.243045,validation,SYNTHETIC
wh-0525,heat_pump,4.78427,278.236,48.374,57.8,5.091,0.337431,validation,SYNTHETIC
wh-0526,electric_resistance,4.446705,297.285,48.232,60.979,11.701,0.171319,validation,SYNTHETIC
wh-0527,heat_pump,3.916101,290.362,49.167,58.347,6.274,0.192319,validation,SYNTHETIC
wh-0528,heat_pump,3.813631,261.333,50.737,58.651,4.159,0.314522,validation,SYNTHETIC
wh-0529,electric_resistance,4.439289,220.997,49.643,58.789,11.416,0.220869,validation,SYNTHETIC
wh-0530,heat_pump,4.318629,235.073,48.76,58.426,4.615,0.376127,validation,SYNTHETIC
wh-0531,heat_pump,4.073391,291.404,50.758,59.765,4.863,0.216358,validation,SYNTHETIC
wh-0532,electric_resistance,5.384801,150.642,49.246,58.168,9.764,0.139054,validation,SYNTHETIC
wh-0533,heat_pump,4.192697,159.922,48.448,59.593,6.011,0.183906,validation,SYNTHETIC
wh-0534,heat_pump,4.636844,207.818,49.219,59.716,6.668,0.315977,validation,SYNTHETIC
wh-0535,heat_pump,4.062877,204.863,48.49,59.915,4.916,0.233775,validation,SYNTHETIC
wh-0536,heat_pump,3.923763,187.571,49.206,59.021,5.715,0.296416,validation,SYNTHETIC
wh-0537,electric_resistance,5.440339,159.785,50.349,60.119,10.265,0.225049,validation,SYNTHETIC
wh-0538,heat_pump,4.598212,296.922,50.202,58.497,5.627,0.269371,validation,SYNTHETIC
wh-0539,heat_pump,3.821833,195.769,48.732,60.495,6.667,0.335289,validation,SYNTHETIC
wh-0540,heat_pump,4.055968,211.887,50.334,57.774,5.279,0.212196,validation,SYNTHETIC
wh-0541,electric_resistance,4.798558,213.196,49.214,58.934,11.84,0.270101,validation,SYNTHETIC
wh-0542,electric_resistance,4.651174,212.795,50.386,60.146,11.108,0.284891,validation,SYNTHETIC
wh-0543,heat_pump,3.989,214.112,50.127,60.954,4.458,0.357833,validation,SYNTHETIC
wh-0544,heat_pump,4.763356,165.291,50.165,60.427,5.357,0.233609,validation,SYNTHETIC
wh-0545,heat_pump,4.558555,247.154,49.823,60.235,5.161,0.339808,validation,SYNTHETIC
wh-0546,heat_pump,4.483519,188.936,48.016,58.763,4.105,0.373556,validation,SYNTHETIC
wh-0547,heat_pump,4.825622,285.258,50.056,58.284,5.424,0.379904,validation,SYNTHETIC
wh-0548,electric_resistance,4.631476,174.236,50.07,58.385,9.148,0.152665,validation,SYNTHETIC
wh-0549,electric_resistance,4.373796,283.944,48.517,58.542,8.902,0.158304,validation,SYNTHETIC
wh-0550,heat_pump,4.294188,233.164,49.261,58.685,6.605,0.310906,validation,SYNTHETIC
wh-0551,heat_pump,4.170717,272.801,50.823,60.464,4.716,0.352587,validation,SYNTHETIC
wh-0552,heat_pump,4.207919,164.545,49.317,61.0,6.081,0.26735,validation,SYNTHETIC
wh-0553,heat_pump,4.883173,251.302,48.967,57.938,5.928,0.299725,validation,SYNTHETIC
wh-0554,electric_resistance,4.740196,166.065,49.261,59.129,10.907,0.203546,validation,SYNTHETIC
wh-0555,electric_resistance,4.348697,266.068,50.649,58.294,8.869,0.253583,validation,SYNTHETIC
wh-0556,electric_resistance,4.795303,195.992,49.658,57.06,10.501,0.258299,validation,SYNTHETIC
wh-0557,electric_resistance,5.101343,235.437,50.86,60.805,8.818,0.295612,validation,SYNTHETIC
wh-0558,electric_resistance,4.322445,220.676,49.55,57.928,9.451,0.158226,validation,SYNTHETIC
wh-0559,heat_pump,3.987776,163.813,50.666,60.134,6.005,0.244599,validation,SYNTHETIC
wh-0560,heat_pump,4.125254,211.994,49.849,58.217,4.982,0.297531,validation,SYNTHETIC
