id,type,location_id,rated_power_kw,earliest_start,latest_end,required_kwh,minimum_kwh,maximum_kwh,minimum_duration,maximum_duration,deadline,min_power,max_power,override_rate,availability_rate,state,battery_capacity_kwh,arrival_soc_pct,target_soc_pct,dataset_split,acn_source_session
ev_0179,ev,simulation_feeder_09,3.65,2026-01-15T13:45:00+05:30,2026-01-15T19:05:54+05:30,11.095,8.876,19.521,15,320,2026-01-15T19:05:54+05:30,1.4,3.65,0.1135,0.8879,available,44.0,25.5,50.7,train,time series data/caltech/California_Garage_01/2-39-128-562-2018-05-15T08-21-22-000001.csv.gz
ev_0180,ev,simulation_feeder_10,3.33,2026-01-15T21:45:00+05:30,2026-01-16T07:01:05+05:30,7.91,6.328,30.863,15,556,2026-01-16T07:01:05+05:30,1.4,3.33,0.0211,0.9295,available,58.0,61.7,75.3,train,time series data/caltech/S_Wilson_Garage_01/2-105-277-1698-2020-10-27T16-21-45-308873.csv.gz
ev_0181,ev,simulation_feeder_01,11.08,2026-01-15T02:30:00+05:30,2026-01-15T03:31:31+05:30,5.7,4.56,11.36,15,61,2026-01-15T03:31:31+05:30,1.4,11.08,0.041,0.8907,available,65.58,30.1,38.8,train,time series data/caltech/California_Garage_02/2-6-3-1629-2019-07-07T21-09-13-090002.csv.gz
ev_0182,ev,simulation_feeder_02,2.17,2026-01-15T01:15:00+05:30,2026-01-15T09:00:17+05:30,1.887,1.51,16.828,15,465,2026-01-15T09:00:17+05:30,1.4,2.17,0.1868,0.917,available,52.52,36.4,40.0,train,time series data/caltech/California_Garage_02/2-6-3-1362-2020-07-31T19-46-41-029324.csv.gz
ev_0183,ev,simulation_feeder_03,3.57,2026-01-15T22:15:00+05:30,2026-01-16T00:24:27+05:30,5.269,4.215,7.702,15,129,2026-01-16T00:24:27+05:30,1.4,3.57,0.1302,0.9521,available,64.22,40.6,48.8,train,time series data/caltech/California_Garage_01/2-39-89-25-2018-12-30T16-49-18-209992.csv.gz
ev_0184,ev,simulation_feeder_04,6.97,2026-01-15T04:30:00+05:30,2026-01-15T07:20:23+05:30,10.738,8.59,19.793,15,170,2026-01-15T07:20:23+05:30,1.4,6.97,0.0771,0.9791,available,82.48,60.2,73.2,train,time series data/caltech/California_Garage_01/2-39-131-30-2018-10-30T23-00-08-715021.csv.gz
ev_0185,ev,simulation_feeder_05,3.56,2026-01-15T22:00:00+05:30,2026-01-16T06:50:17+05:30,14.019,11.215,31.463,15,530,2026-01-16T06:50:17+05:30,1.4,3.56,0.2066,0.8809,available,51.06,46.7,74.2,train,time series data/caltech/California_Garage_01/2-39-79-376-2019-10-04T16-30-48-871892.csv.gz
ev_0186,ev,simulation_feeder_06,6.59,2026-01-15T21:30:00+05:30,2026-01-16T05:50:46+05:30,26.309,21.047,55.001,15,500,2026-01-16T05:50:46+05:30,1.4,6.59,0.0411,0.9022,available,79.21,40.4,73.6,train,time series data/caltech/N_Wilson_Garage_01/2-137-440-2988-2020-09-14T16-11-20-751555.csv.gz
ev_0187,ev,simulation_feeder_07,6.86,2026-01-15T21:30:00+05:30,2026-01-16T13:12:49+05:30,10.972,8.778,99.57,15,942,2026-01-16T13:12:49+05:30,1.4,6.86,0.1356,0.8835,available,99.57,67.1,78.1,train,time series data/caltech/California_Garage_01/2-39-91-441-2019-08-22T16-07-52-664706.csv.gz
ev_0188,ev,simulation_feeder_08,6.69,2026-01-15T02:15:00+05:30,2026-01-15T03:41:42+05:30,8.381,6.705,9.667,15,86,2026-01-15T03:41:42+05:30,1.4,6.69,0.1566,0.9119,available,48.83,55.5,72.7,train,time series data/caltech/California_Garage_01/2-39-78-365-2019-10-10T20-50-29-114840.csv.gz
ev_0189,ev,simulation_feeder_09,6.9,2026-01-15T22:15:00+05:30,2026-01-16T05:53:57+05:30,25.989,20.791,52.779,15,458,2026-01-16T05:53:57+05:30,1.4,6.9,0.2122,0.9508,available,56.46,43.8,89.8,train,time series data/caltech/California_Garage_01/2-39-78-362-2020-01-13T16-47-52-309348.csv.gz
ev_0190,ev,simulation_feeder_10,6.83,2026-01-15T20:45:00+05:30,2026-01-16T02:05:12+05:30,2.147,1.718,36.449,15,320,2026-01-16T02:05:12+05:30,1.4,6.83,0.207,0.9059,available,85.88,46.1,48.6,train,time series data/caltech/California_Garage_01/2-39-78-366-2018-11-26T15-17-14-646034.csv.gz
ev_0191,ev,simulation_feeder_01,6.83,2026-01-15T19:15:00+05:30,2026-01-16T01:28:58+05:30,15.522,12.418,42.57,15,373,2026-01-16T01:28:58+05:30,1.4,6.83,0.1494,0.972,available,71.26,57.7,79.5,train,time series data/caltech/California_Garage_01/2-39-91-441-2018-06-06T13-58-34-171978.csv.gz
ev_0192,ev,simulation_feeder_02,9.08,2026-01-15T20:45:00+05:30,2026-01-15T21:00:00+05:30,1.675,1.34,2.27,15,15,2026-01-15T21:00:00+05:30,1.4,9.08,0.0291,0.964,available,66.88,37.1,39.6,train,time series data/caltech/California_Garage_02/2-6-3-1627-2019-12-14T15-24-43-009575.csv.gz
ev_0193,ev,simulation_feeder_03,7.02,2026-01-15T22:30:00+05:30,2026-01-16T07:47:05+05:30,7.137,5.71,65.179,15,557,2026-01-16T07:47:05+05:30,1.4,7.02,0.1708,0.8643,available,75.49,32.1,41.6,train,time series data/caltech/California_Garage_01/2-39-88-438-2019-09-03T17-01-22-357902.csv.gz
ev_0194,ev,simulation_feeder_04,10.21,2026-01-15T21:30:00+05:30,2026-01-16T07:40:08+05:30,34.242,27.394,50.89,15,610,2026-01-16T07:40:08+05:30,1.4,10.21,0.0358,0.912,available,50.89,16.7,84.0,train,time series data/caltech/California_Garage_02/2-6-3-1360-2019-03-07T16-02-40-963804.csv.gz
ev_0195,ev,simulation_feeder_05,3.56,2026-01-15T05:30:00+05:30,2026-01-15T05:46:55+05:30,0.924,0.739,1.004,15,16,2026-01-15T05:46:55+05:30,1.4,3.56,0.0369,0.9098,available,99.61,77.3,78.2,train,time series data/caltech/California_Garage_01/2-39-78-360-2018-08-01T00-10-57-769743.csv.gz
ev_0196,ev,simulation_feeder_06,22.0,2026-01-15T11:15:00+05:30,2026-01-15T12:25:57.589110+05:30,26.019,20.815,26.019,15,70,2026-01-15T12:25:57.589110+05:30,1.4,22.0,0.0277,0.9029,available,93.15,37.5,65.4,train,time series data/caltech/N_Wilson_Garage_01/2-137-521-3844-2020-07-03T05-58-35-098621.csv.gz
ev_0197,ev,simulation_feeder_07,3.38,2026-01-15T06:30:00+05:30,2026-01-15T10:40:00+05:30,13.888,11.11,14.083,15,250,2026-01-15T10:40:00+05:30,1.4,3.38,0.0303,0.9392,available,95.99,41.8,56.3,train,time series data/caltech/California_Garage_02/2-6-3-1357-2019-09-20T01-00-42-662992.csv.gz
ev_0198,ev,simulation_feeder_08,3.25,2026-01-15T03:00:00+05:30,2026-01-15T07:12:08+05:30,11.366,9.093,13.657,15,252,2026-01-15T07:12:08+05:30,1.4,3.25,0.106,0.9741,available,88.69,37.0,49.8,train,time series data/caltech/S_Wilson_Garage_01/2-105-277-1696-2020-08-04T21-41-52-820053.csv.gz
ev_0199,ev,simulation_feeder_09,7.13,2026-01-15T04:45:00+05:30,2026-01-15T05:55:05+05:30,7.844,6.275,8.328,15,70,2026-01-15T05:55:05+05:30,1.4,7.13,0.2071,0.8733,available,48.64,20.8,36.9,train,time series data/caltech/California_Garage_01/2-39-88-24-2018-09-23T23-21-36-858311.csv.gz
ev_0200,ev,simulation_feeder_10,3.5,2026-01-15T03:45:00+05:30,2026-01-15T07:32:23+05:30,7.129,5.703,13.264,15,227,2026-01-15T07:32:23+05:30,1.4,3.5,0.1797,0.9666,available,65.38,50.5,61.4,train,time series data/caltech/California_Garage_02/2-6-3-1629-2020-09-21T22-23-39-636521.csv.gz
ev_0201,ev,simulation_feeder_01,3.57,2026-01-15T20:30:00+05:30,2026-01-16T05:50:46+05:30,3.186,2.549,33.366,15,560,2026-01-16T05:50:46+05:30,1.4,3.57,0.2191,0.9205,available,48.63,49.6,56.2,train,time series data/caltech/California_Garage_01/2-39-78-362-2018-07-24T15-13-09-229765.csv.gz
ev_0202,ev,simulation_feeder_02,6.82,2026-01-15T10:45:00+05:30,2026-01-15T12:25:17+05:30,4.197,3.358,11.399,15,100,2026-01-15T12:25:17+05:30,1.4,6.82,0.06,0.8852,available,57.56,79.1,86.4,train,time series data/caltech/California_Garage_01/2-39-78-361-2018-06-27T05-28-05-637533.csv.gz
ev_0203,ev,simulation_feeder_03,18.0,2026-01-15T18:30:00+05:30,2026-01-15T18:51:53+05:30,6.34,5.072,6.565,15,21,2026-01-15T18:51:53+05:30,1.4,18.0,0.1434,0.9216,available,66.63,23.3,32.8,train,time series data/caltech/California_Garage_02/2-6-3-1630-2019-04-07T13-02-21-582804.csv.gz
ev_0204,ev,simulation_feeder_04,6.54,2026-01-15T06:00:00+05:30,2026-01-15T06:15:00+05:30,0.209,0.167,1.635,15,15,2026-01-15T06:15:00+05:30,1.4,6.54,0.1069,0.9069,available,48.87,53.9,54.3,train,time series data/caltech/N_Wilson_Garage_01/2-137-440-3987-2020-09-26T00-32-45-550980.csv.gz
ev_0205,ev,simulation_feeder_05,1.76,2026-01-15T22:00:00+05:30,2026-01-16T03:03:11+05:30,1.336,1.069,8.893,15,303,2026-01-16T03:03:11+05:30,1.4,1.76,0.2017,0.9209,available,49.24,51.7,54.4,train,time series data/caltech/California_Garage_01/2-39-88-438-2018-12-06T16-39-53-705727.csv.gz
ev_0206,ev,simulation_feeder_06,3.5,2026-01-15T00:00:00+05:30,2026-01-15T02:57:39+05:30,2.372,1.898,10.363,15,177,2026-01-15T02:57:39+05:30,1.4,3.5,0.1646,0.9603,available,56.11,35.9,40.1,train,time series data/caltech/California_Garage_01/2-39-90-26-2019-07-18T18-44-50-541843.csv.gz
ev_0207,ev,simulation_feeder_07,6.53,2026-01-15T22:00:00+05:30,2026-01-16T05:02:19+05:30,11.317,9.054,45.962,15,422,2026-01-16T05:02:19+05:30,1.4,6.53,0.1347,0.8903,available,95.35,11.7,23.6,train,time series data/caltech/California_Garage_01/2-39-123-23-2019-10-31T16-37-20-875443.csv.gz
ev_0208,ev,simulation_feeder_08,6.72,2026-01-15T05:30:00+05:30,2026-01-15T10:05:20+05:30,12.519,10.015,30.837,15,275,2026-01-15T10:05:20+05:30,1.4,6.72,0.1402,0.9679,available,76.11,14.6,31.0,train,time series data/caltech/California_Garage_01/2-39-90-26-2018-08-21T00-02-58-702564.csv.gz
ev_0209,ev,simulation_feeder_09,6.98,2026-01-15T19:45:00+05:30,2026-01-16T05:43:20+05:30,14.047,11.238,37.76,15,598,2026-01-16T05:43:20+05:30,1.4,6.98,0.1842,0.9087,available,37.76,31.8,69.0,train,time series data/caltech/California_Garage_01/2-39-125-21-2018-09-17T14-25-28-635954.csv.gz
ev_0210,ev,simulation_feeder_10,3.34,2026-01-15T07:30:00+05:30,2026-01-15T07:58:38+05:30,1.497,1.198,1.594,15,28,2026-01-15T07:58:38+05:30,1.4,3.34,0.2138,0.9069,available,97.18,11.0,12.5,train,time series data/caltech/N_Wilson_Garage_01/2-137-441-3009-2020-07-08T02-12-45-340024.csv.gz
ev_0211,ev,simulation_feeder_01,11.16,2026-01-15T04:30:00+05:30,2026-01-15T05:58:24+05:30,15.954,12.763,16.442,15,88,2026-01-15T05:58:24+05:30,1.4,11.16,0.1168,0.9264,available,83.39,28.0,47.1,train,time series data/caltech/California_Garage_02/2-6-3-1623-2019-11-14T23-02-01-709963.csv.gz
ev_0212,ev,simulation_feeder_02,3.38,2026-01-15T12:30:00+05:30,2026-01-15T14:20:52+05:30,5.215,4.172,6.245,15,110,2026-01-15T14:20:52+05:30,1.4,3.38,0.192,0.9634,available,91.67,82.9,88.6,train,time series data/jpl/Arroyo_Garage_01/1-1-178-823-2020-11-11T07-11-58-218890.csv.gz
ev_0213,ev,simulation_feeder_03,3.33,2026-01-15T21:30:00+05:30,2026-01-16T06:49:38+05:30,5.201,4.161,31.06,15,559,2026-01-16T06:49:38+05:30,1.4,3.33,0.1075,0.9086,available,57.92,50.5,59.5,train,time series data/caltech/California_Garage_02/2-6-3-1364-2020-02-21T16-10-35-369920.csv.gz
ev_0214,ev,simulation_feeder_04,3.37,2026-01-15T03:00:00+05:30,2026-01-15T07:40:10+05:30,12.394,9.915,15.736,15,280,2026-01-15T07:40:10+05:30,1.4,3.37,0.0546,0.9856,available,89.23,43.4,57.3,train,time series data/caltech/California_Garage_01/2-39-79-383-2018-08-23T21-41-41-497236.csv.gz
ev_0215,ev,simulation_feeder_05,7.2,2026-01-15T20:45:00+05:30,2026-01-16T00:13:41+05:30,18.835,15.068,25.042,15,208,2026-01-16T00:13:41+05:30,1.4,7.2,0.0679,0.9109,available,98.75,18.3,37.4,train,time series data/caltech/California_Garage_02/2-6-3-1629-2019-09-03T15-27-47-689456.csv.gz
ev_0216,ev,simulation_feeder_06,6.5,2026-01-15T21:30:00+05:30,2026-01-16T06:10:38+05:30,24.369,19.495,56.402,15,520,2026-01-16T06:10:38+05:30,1.4,6.5,0.1439,0.9298,available,93.15,57.3,83.5,train,time series data/caltech/S_Wilson_Garage_01/2-105-277-1698-2019-09-05T16-09-29-540462.csv.gz
ev_0217,ev,simulation_feeder_07,7.33,2026-01-15T23:45:00+05:30,2026-01-16T09:13:41+05:30,16.769,13.415,69.474,15,568,2026-01-16T09:13:41+05:30,1.4,7.33,0.2096,0.9196,available,71.38,29.8,53.3,train,time series data/caltech/California_Garage_02/2-6-3-1628-2020-02-17T18-26-22-813412.csv.gz
ev_0218,ev,simulation_feeder_08,7.3,2026-01-15T09:30:00+05:30,2026-01-15T09:50:41+05:30,2.427,1.942,2.516,15,20,2026-01-15T09:50:41+05:30,1.4,7.3,0.1533,0.9186,available,84.59,73.5,76.4,train,time series data/caltech/California_Garage_02/2-6-3-1624-2019-09-08T04-00-06-194901.csv.gz
ev_0219,ev,simulation_feeder_09,3.34,2026-01-15T20:45:00+05:30,2026-01-16T03:27:10+05:30,1.855,1.484,22.387,15,402,2026-01-16T03:27:10+05:30,1.4,3.34,0.128,0.8858,available,42.13,10.9,15.3,train,time series data/caltech/California_Garage_02/2-6-3-1367-2019-05-30T15-22-58-892945.csv.gz
ev_0220,ev,simulation_feeder_10,10.97,2026-01-15T23:30:00+05:30,2026-01-16T01:08:42+05:30,17.361,13.889,18.046,15,98,2026-01-16T01:08:42+05:30,1.4,10.97,0.1905,0.9355,available,72.51,48.3,72.2,train,time series data/caltech/California_Garage_02/2-6-3-1627-2019-11-10T18-00-14-137466.csv.gz
ev_0221,ev,simulation_feeder_01,3.08,2026-01-15T21:15:00+05:30,2026-01-16T01:34:14+05:30,10.147,8.118,13.307,15,259,2026-01-16T01:34:14+05:30,1.4,3.08,0.1634,0.9387,available,68.03,34.0,48.9,train,time series data/caltech/California_Garage_01/2-39-88-438-2018-08-16T15-50-15-648102.csv.gz
ev_0222,ev,simulation_feeder_02,7.43,2026-01-15T20:15:00+05:30,2026-01-15T21:00:28+05:30,5.417,4.334,5.63,15,45,2026-01-15T21:00:28+05:30,1.4,7.43,0.0529,0.9533,available,63.75,64.2,72.7,train,time series data/caltech/California_Garage_02/2-6-3-1630-2019-04-28T14-53-10-908630.csv.gz
ev_0223,ev,simulation_feeder_03,1.66,2026-01-15T03:00:00+05:30,2026-01-15T09:12:17+05:30,0.876,0.701,10.3,15,372,2026-01-15T09:12:17+05:30,1.4,1.66,0.0848,0.9462,available,63.77,14.8,16.2,train,time series data/caltech/California_Garage_01/2-39-78-366-2018-11-18T21-34-31-234734.csv.gz
ev_0224,ev,simulation_feeder_04,9.06,2026-01-15T03:45:00+05:30,2026-01-15T04:00:00+05:30,0.376,0.301,2.265,15,15,2026-01-15T04:00:00+05:30,1.4,9.06,0.0898,0.8816,available,46.86,22.8,23.6,train,time series data/caltech/California_Garage_02/2-6-3-1630-2020-11-14T22-23-20-058918.csv.gz
ev_0225,ev,simulation_feeder_05,1.73,2026-01-15T06:45:00+05:30,2026-01-15T07:56:51+05:30,0.94,0.752,2.072,15,71,2026-01-15T07:56:51+05:30,1.4,1.73,0.1148,0.9623,available,59.15,51.9,53.5,train,time series data/caltech/California_Garage_01/2-39-139-28-2019-01-08T01-23-26-254818.csv.gz
ev_0226,ev,simulation_feeder_06,4.02,2026-01-15T02:15:00+05:30,2026-01-15T06:24:42+05:30,9.021,7.217,16.73,15,249,2026-01-15T06:24:42+05:30,1.4,4.02,0.0842,0.9448,available,41.22,59.8,81.7,train,time series data/caltech/California_Garage_01/2-39-79-383-2018-09-25T20-48-34-452789.csv.gz
ev_0227,ev,simulation_feeder_07,3.7,2026-01-15T13:45:00+05:30,2026-01-16T07:49:40+05:30,13.517,10.814,66.888,15,1084,2026-01-16T07:49:40+05:30,1.4,3.7,0.1945,0.9497,available,74.51,22.7,40.8,train,time series data/caltech/California_Garage_01/2-39-139-567-2018-06-03T08-18-25-566071.csv.gz
ev_0228,ev,simulation_feeder_08,6.08,2026-01-15T01:00:00+05:30,2026-01-15T04:53:24+05:30,16.022,12.818,23.651,15,233,2026-01-15T04:53:24+05:30,1.4,6.08,0.1981,0.964,available,99.42,13.8,29.9,train,time series data/caltech/California_Garage_02/2-6-3-1365-2018-12-27T19-31-42-155784.csv.gz
ev_0229,ev,simulation_feeder_09,11.0,2026-01-15T01:30:00+05:30,2026-01-15T02:26:53+05:30,7.43,5.944,10.429,15,56,2026-01-15T02:26:53+05:30,1.4,11.0,0.1062,0.9432,available,75.06,70.7,80.6,train,time series data/caltech/California_Garage_02/2-6-3-1627-2019-10-09T20-03-29-941640.csv.gz
ev_0230,ev,simulation_feeder_10,2.28,2026-01-15T03:15:00+05:30,2026-01-15T07:56:38+05:30,2.263,1.81,10.702,15,281,2026-01-15T07:56:38+05:30,1.4,2.28,0.0587,0.9279,available,42.96,66.3,71.6,train,time series data/caltech/California_Garage_01/2-39-78-365-2020-11-12T21-53-53-225305.csv.gz
ev_0231,ev,simulation_feeder_01,1.59,2026-01-15T20:15:00+05:30,2026-01-15T22:00:25+05:30,2.693,2.154,2.794,15,105,2026-01-15T22:00:25+05:30,1.4,1.59,0.1303,0.8749,available,71.69,54.1,57.9,train,time series data/caltech/California_Garage_01/2-39-130-31-2018-07-06T14-51-02-564821.csv.gz
ev_0232,ev,simulation_feeder_02,9.33,2026-01-15T20:45:00+05:30,2026-01-15T23:48:49+05:30,18.633,14.906,28.583,15,183,2026-01-15T23:48:49+05:30,1.4,9.33,0.1812,0.8819,available,43.88,10.1,52.6,train,time series data/caltech/California_Garage_02/2-6-3-1627-2019-10-11T15-15-44-044662.csv.gz
ev_0233,ev,simulation_feeder_03,17.86,2026-01-15T06:00:00+05:30,2026-01-15T06:17:43+05:30,4.925,3.94,5.274,15,17,2026-01-15T06:17:43+05:30,1.4,17.86,0.1463,0.9424,available,86.67,29.1,34.8,train,time series data/caltech/California_Garage_02/2-6-3-1629-2019-08-09T00-36-38-731226.csv.gz
ev_0234,ev,simulation_feeder_04,10.8,2026-01-15T04:30:00+05:30,2026-01-15T05:53:31+05:30,12.616,10.093,15.033,15,83,2026-01-15T05:53:31+05:30,1.4,10.8,0.0539,0.9683,available,39.21,21.0,53.2,train,time series data/caltech/California_Garage_02/2-6-3-1629-2020-03-01T23-13-04-044179.csv.gz
ev_0235,ev,simulation_feeder_05,7.36,2026-01-15T07:30:00+05:30,2026-01-15T11:11:36+05:30,26.375,21.1,27.183,15,221,2026-01-15T11:11:36+05:30,1.4,7.36,0.1498,0.9507,available,63.11,40.2,82.0,train,time series data/caltech/California_Garage_02/2-6-3-1627-2020-05-08T02-02-56-583680.csv.gz
ev_0236,ev,simulation_feeder_06,1.76,2026-01-15T00:45:00+05:30,2026-01-15T01:40:26+05:30,1.596,1.277,1.626,15,55,2026-01-15T01:40:26+05:30,1.4,1.76,0.0705,0.8764,available,37.15,45.4,49.7,train,time series data/caltech/California_Garage_01/2-39-129-17-2018-09-25T19-23-55-107549.csv.gz
ev_0237,ev,simulation_feeder_07,1.4,2026-01-15T03:30:00+05:30,2026-01-15T05:18:00+05:30,0.017,0.014,2.52,15,108,2026-01-15T05:18:00+05:30,1.4,1.4,0.1959,0.9145,available,89.41,52.7,52.7,train,time series data/caltech/California_Garage_01/2-39-125-21-2019-01-05T22-09-01-903665.csv.gz
ev_0238,ev,simulation_feeder_08,6.92,2026-01-15T08:00:00+05:30,2026-01-15T19:24:07+05:30,12.518,10.014,78.901,15,684,2026-01-15T19:24:07+05:30,1.4,6.92,0.1923,0.9306,available,99.64,66.2,78.8,train,time series data/caltech/California_Garage_01/2-39-125-21-2019-03-15T02-34-14-882134.csv.gz
ev_0239,ev,simulation_feeder_09,22.0,2026-01-15T04:00:00+05:30,2026-01-15T04:15:00+05:30,5.5,4.4,5.5,15,15,2026-01-15T04:15:00+05:30,1.4,22.0,0.0577,0.8656,available,74.03,18.9,26.3,train,time series data/caltech/N_Wilson_Garage_01/2-137-521-3844-2020-04-17T22-43-15-609107.csv.gz
ev_0240,ev,simulation_feeder_10,7.16,2026-01-15T12:45:00+05:30,2026-01-15T13:20:16+05:30,3.946,3.157,4.208,15,35,2026-01-15T13:20:16+05:30,1.4,7.16,0.0866,0.9558,available,55.0,68.5,75.7,train,time series data/caltech/California_Garage_01/2-39-89-25-2018-05-31T07-29-05-374221.csv.gz
ev_0241,ev,simulation_feeder_01,3.58,2026-01-15T21:30:00+05:30,2026-01-16T06:16:01+05:30,11.311,9.049,31.386,15,526,2026-01-16T06:16:01+05:30,1.4,3.58,0.0629,0.8792,available,67.58,23.0,39.7,train,time series data/caltech/California_Garage_01/2-39-139-28-2020-01-07T16-14-11-372907.csv.gz
ev_0242,ev,simulation_feeder_02,3.47,2026-01-15T02:00:00+05:30,2026-01-15T05:18:24+05:30,3.388,2.71,11.474,15,198,2026-01-15T05:18:24+05:30,1.4,3.47,0.2024,0.9765,available,76.61,49.1,53.5,train,time series data/caltech/California_Garage_01/2-39-91-437-2019-12-19T20-41-48-834532.csv.gz
ev_0243,ev,simulation_feeder_03,6.74,2026-01-15T00:15:00+05:30,2026-01-15T15:59:23+05:30,17.908,14.326,97.98,15,944,2026-01-15T15:59:23+05:30,1.4,6.74,0.2025,0.9695,available,97.98,12.6,30.9,train,time series data/caltech/California_Garage_01/2-39-88-438-2019-05-10T18-54-54-298225.csv.gz
ev_0244,ev,simulation_feeder_04,3.58,2026-01-15T01:00:00+05:30,2026-01-15T07:39:39+05:30,7.038,5.63,23.846,15,399,2026-01-15T07:39:39+05:30,1.4,3.58,0.2121,0.9472,available,68.08,70.4,80.7,train,time series data/caltech/California_Garage_01/2-39-78-362-2019-06-14T19-38-25-643263.csv.gz
ev_0245,ev,simulation_feeder_05,3.42,2026-01-15T21:45:00+05:30,2026-01-16T06:08:39+05:30,8.808,7.046,28.708,15,503,2026-01-16T06:08:39+05:30,1.4,3.42,0.2189,0.8765,available,93.03,58.4,67.9,train,time series data/caltech/LIGO_01/2-154-492-3388-2020-02-04T16-28-28-956258.csv.gz
ev_0246,ev,simulation_feeder_06,6.59,2026-01-15T08:00:00+05:30,2026-01-15T09:54:13+05:30,6.006,4.805,12.545,15,114,2026-01-15T09:54:13+05:30,1.4,6.59,0.1302,0.9656,available,53.87,56.0,67.1,train,time series data/caltech/California_Garage_01/2-39-139-28-2019-11-21T02-33-11-931709.csv.gz
ev_0247,ev,simulation_feeder_07,7.05,2026-01-15T21:00:00+05:30,2026-01-16T00:32:48+05:30,14.108,11.286,25.004,15,212,2026-01-16T00:32:48+05:30,1.4,7.05,0.2026,0.8611,available,66.17,53.0,74.3,train,time series data/caltech/California_Garage_01/2-39-125-21-2018-06-09T15-44-28-349282.csv.gz
ev_0248,ev,simulation_feeder_08,3.46,2026-01-15T07:45:00+05:30,2026-01-15T10:06:48+05:30,6.226,4.981,8.177,15,141,2026-01-15T10:06:48+05:30,1.4,3.46,0.1428,0.9862,available,36.49,21.3,38.4,train,time series data/caltech/California_Garage_01/2-39-79-383-2018-05-12T02-19-51-956628.csv.gz
ev_0249,ev,simulation_feeder_09,3.51,2026-01-15T02:45:00+05:30,2026-01-15T08:00:19+05:30,6.606,5.285,18.446,15,315,2026-01-15T08:00:19+05:30,1.4,3.51,0.1778,0.867,available,86.61,57.5,65.1,train,time series data/caltech/California_Garage_01/2-39-78-365-2019-02-15T21-26-46-666273.csv.gz
ev_0250,ev,simulation_feeder_10,6.68,2026-01-15T05:00:00+05:30,2026-01-15T06:27:00+05:30,8.72,6.976,9.686,15,87,2026-01-15T06:27:00+05:30,1.4,6.68,0.0404,0.8955,available,77.17,54.3,65.6,train,time series data/caltech/California_Garage_02/2-6-3-1362-2020-03-15T23-44-15-784304.csv.gz
ev_0251,ev,simulation_feeder_01,6.94,2026-01-15T17:00:00+05:30,2026-01-15T17:15:00+05:30,1.522,1.218,1.735,15,15,2026-01-15T17:15:00+05:30,1.4,6.94,0.0372,0.9128,available,65.99,83.9,86.2,train,time series data/caltech/California_Garage_01/2-39-89-25-2018-10-02T11-40-23-894001.csv.gz
ev_0252,ev,simulation_feeder_02,2.14,2026-01-15T23:30:00+05:30,2026-01-16T01:58:54+05:30,3.202,2.562,5.311,15,148,2026-01-16T01:58:54+05:30,1.4,2.14,0.1008,0.9618,available,78.59,32.2,36.3,train,time series data/caltech/California_Garage_01/2-39-79-376-2019-02-19T18-13-43-937441.csv.gz
ev_0253,ev,simulation_feeder_03,6.5,2026-01-15T21:00:00+05:30,2026-01-16T04:36:51+05:30,47.564,38.051,49.492,15,456,2026-01-16T04:36:51+05:30,1.4,6.5,0.0365,0.9533,available,74.13,14.1,78.3,train,time series data/caltech/S_Wilson_Garage_01/2-105-277-1697-2020-11-10T15-36-28-548746.csv.gz
ev_0254,ev,simulation_feeder_04,3.53,2026-01-15T07:45:00+05:30,2026-01-15T23:12:35+05:30,5.624,4.499,54.573,15,927,2026-01-15T23:12:35+05:30,1.4,3.53,0.1077,0.8979,available,69.06,12.0,20.1,train,time series data/caltech/California_Garage_01/2-39-125-21-2018-10-27T02-21-52-081331.csv.gz
ev_0255,ev,simulation_feeder_05,3.6,2026-01-15T21:30:00+05:30,2026-01-16T06:21:24+05:30,9.32,7.456,31.884,15,531,2026-01-16T06:21:24+05:30,1.4,3.6,0.1605,0.8941,available,41.31,41.6,64.2,train,time series data/caltech/California_Garage_01/2-39-79-378-2018-05-14T16-12-54-153231.csv.gz
ev_0256,ev,simulation_feeder_06,10.73,2026-01-15T07:45:00+05:30,2026-01-15T10:23:06+05:30,9.594,7.675,28.274,15,158,2026-01-15T10:23:06+05:30,1.4,10.73,0.1139,0.9085,available,50.86,49.8,68.7,train,time series data/caltech/California_Garage_02/2-6-3-1625-2020-10-13T02-25-05-449504.csv.gz
ev_0257,ev,simulation_feeder_07,6.79,2026-01-15T00:45:00+05:30,2026-01-15T06:42:06+05:30,26.824,21.459,40.412,15,357,2026-01-15T06:42:06+05:30,1.4,6.79,0.1836,0.9471,available,53.4,36.7,86.9,train,time series data/office_01/Parking_Lot_01/19-102-260-1634-2020-02-14T19-26-56-955256.csv.gz
ev_0258,ev,simulation_feeder_08,6.31,2026-01-15T10:45:00+05:30,2026-01-15T18:36:26+05:30,13.876,11.101,49.579,15,471,2026-01-15T18:36:26+05:30,1.4,6.31,0.2055,0.8832,available,64.74,54.1,75.5,train,time series data/caltech/California_Garage_01/2-39-139-28-2018-07-09T05-29-34-128583.csv.gz
ev_0259,ev,simulation_feeder_09,4.3,2026-01-15T22:15:00+05:30,2026-01-16T05:55:56+05:30,9.89,7.912,33.034,15,460,2026-01-16T05:55:56+05:30,1.4,4.3,0.0556,0.9785,available,89.45,45.8,56.9,train,time series data/caltech/California_Garage_01/2-39-79-382-2019-08-21T16-56-15-431298.csv.gz
